,0
2021-10-30,1.08964998537
2021-10-31,1.08964998537
2021-11-01,1.08964998537
2021-11-02,1.08964998537
2021-11-03,1.08964998537
2021-11-04,1.08964998537
2021-11-05,1.08964998537
2021-11-06,1.08964998537
2021-11-07,1.08964998537
2021-11-08,1.08964998537
2021-11-09,1.08964998537
2021-11-10,1.08964998537
2021-11-11,1.08964998537
2021-11-12,1.08964998537
2021-11-13,1.08964998537
2021-11-14,1.08964998537
2021-11-15,1.08964998537
2021-11-16,1.08964998537
2021-11-17,1.08964998537
2021-11-18,1.08964998537
2021-11-19,1.08964998537
2021-11-20,1.08964998537
2021-11-21,1.08964998537
2021-11-22,1.08964998537
2021-11-23,1.08964998537
2021-11-24,1.08964998537
2021-11-25,1.08964998537
2021-11-26,1.08964998537
2021-11-27,1.08964998537
2021-11-28,1.08964998537
2021-11-29,1.08964998537
2021-11-30,1.08964998537
2021-12-01,1.08964998537
2021-12-02,1.08964998537
2021-12-03,1.08964998537
2021-12-04,1.08964998537
2021-12-05,1.08964998537
2021-12-06,1.08964998537
2021-12-07,1.08964998537
2021-12-08,1.08964998537
2021-12-09,1.08964998537
2021-12-10,1.08964998537
2021-12-11,1.08964998537
2021-12-12,1.08964998537
2021-12-13,1.08964998537
2021-12-14,1.08964998537
2021-12-15,1.08964998537
2021-12-16,1.08964998537
2021-12-17,1.08964998537
2021-12-18,1.08964998537
2021-12-19,1.08964998537
2021-12-20,1.0913821337699998
2021-12-21,1.1119454931699997
2021-12-22,1.1088644775699998
2021-12-23,1.1304247509699998
2021-12-24,1.13080131347
2021-12-25,1.1268779541699998
2021-12-26,1.1306745166699999
2021-12-27,1.12898354007
2021-12-28,1.0984679150699999
2021-12-29,1.0870264697699996
2021-12-30,1.0943606103699999
2021-12-31,1.08564381347
2022-01-01,1.09944748537
2022-01-02,1.09603154787
2022-01-03,1.0871605322699998
2022-01-04,1.0815551025699999
2022-01-05,1.0582693994699996
2022-01-06,1.0541886572699994
2022-01-07,1.0381583837699995
2022-01-08,1.0399187744699994
2022-01-09,1.0416953759699994
2022-01-10,1.0407919775699994
2022-01-11,1.0499379150699995
2022-01-12,1.0620703759699994
2022-01-13,1.0484950634699994
2022-01-14,1.0535763525699995
2022-01-15,1.0543533447699993
